artista,genero
Destiny's Child,R&amp;B;
Santana,"Pop/Rock,Jazz"
Savage Garden,Pop/Rock
Madonna,Pop/Rock
"Aguilera, Christina","Pop/Rock,R&amp;B;"
Janet,Pop/Rock
Destiny's Child,R&amp;B;
"Iglesias, Enrique","Latin,Pop/Rock"
Sisqo,R&amp;B;
Lonestar,"Country,Pop/Rock"
N'Sync,Pop/Rock
"Aguilera, Christina","Pop/Rock,R&amp;B;"
Vertical Horizon,Pop/Rock
Creed,Pop/Rock
Aaliyah,R&amp;B;
matchbox twenty,Pop/Rock
"Carey, Mariah",R&amp;B;
"Hill, Faith","Country,Pop/Rock"
Mya,R&amp;B;
Dream,Pop/Rock
"Braxton, Toni",R&amp;B;
"Anthony, Marc","Latin,Electronic,Pop/Rock"
98ยก,"Pop/Rock,R&amp;B;"
Destiny's Child,R&amp;B;
3 Doors Down,Pop/Rock
Sisqo,R&amp;B;
"Aguilera, Christina","Pop/Rock,R&amp;B;"
"Houston, Whitney",R&amp;B;
Joe,R&amp;B;
"Jordan, Montell",R&amp;B;
N'Sync,Pop/Rock
Eminem,Rap
Pink,Pop/Rock
"Mumba, Samantha","Pop/Rock,R&amp;B;"
Blaque,"R&amp;B;,Pop/Rock"
"Elliott, Missy ""Misdemeanor""","R&amp;B;,Rap"
"Gray, Macy",R&amp;B;
N'Sync,Pop/Rock
Ruff Endz,R&amp;B;
"Backstreet Boys, The",nan
Nine Days,Pop/Rock
"Dion, Celine",Pop/Rock
Blink-182,Pop/Rock
Eiffel 65,"Electronic,Pop/Rock"
"Badu, Erkyah",R&amp;B;
Pink,Pop/Rock
Creed,Pop/Rock
Nelly,Rap
Next,R&amp;B;
Kenny G,"Jazz,EasyListening"
Sonique,Electronic
"Spears, Britney",Pop/Rock
"Backstreet Boys, The",nan
Everclear,Pop/Rock
Ja Rule,Rap
"Rimes, LeAnn","Country,Pop/Rock"
Smash Mouth,Pop/Rock
Jay-Z,Rap
Jagged Edge,R&amp;B;
Filter,Pop/Rock
"Martin, Ricky","Latin,Pop/Rock"
Mystikal,Rap
BBMak,"Pop/Rock,Classical"
"Spears, Britney",Pop/Rock
Third Eye Blind,Pop/Rock
Red Hot Chili Peppers,Pop/Rock
Profyle,R&amp;B;
Barenaked Ladies,Pop/Rock
Jagged Edge,R&amp;B;
504 Boyz,Rap
Sting,Pop/Rock
Jay-Z,Rap
Kid Rock,"Pop/Rock,Rap"
Foo Fighters,Pop/Rock
"Dixie Chicks, The","Country,Folk,Pop/Rock"
Guy,R&amp;B;
Lil Bow Wow,"Rap,R&amp;B;"
Westlife,Pop/Rock
Train,Pop/Rock
"Thomas, Carl",R&amp;B;
Hanson,Pop/Rock
"Simpson, Jessica",Pop/Rock
Ludacris,Rap
Lil' Zane,Rap
M2M,Pop/Rock
SoulDecision,"Pop/Rock,Electronic"
"Brock, Chad",Country
"Martin, Ricky","Latin,Pop/Rock"
Vertical Horizon,Pop/Rock
Avant,R&amp;B;
"Rimes, LeAnn","Country,Pop/Rock"
IMx,"R&amp;B;,Rap"
Dr. Dre,Rap
"Spears, Britney",Pop/Rock
Savage Garden,Pop/Rock
Kandi,R&amp;B;
Sammie,R&amp;B;
Goo Goo Dolls,Pop/Rock
"Moore, Mandy",Pop/Rock
Dr. Dre,Rap
D'Angelo,R&amp;B;
"Messina, Jo Dee",Country
Avant,R&amp;B;
Son By Four,"Latin,Pop/Rock"
Da Brat,Rap
DMX,Rap
"Dixie Chicks, The","Country,Folk,Pop/Rock"
"McGraw, Tim","Country,Pop/Rock"
"Tritt, Travis",Country
Alice Deejay,"Electronic,Pop/Rock"
Hoku,Pop/Rock
"Houston, Whitney",R&amp;B;
Counting Crows,Pop/Rock
Mary Mary,Religious
"Carey, Mariah",R&amp;B;
"McGraw, Tim","Country,Pop/Rock"
Sugar Ray,Pop/Rock
Madonna,Pop/Rock
"Jones, Donell",R&amp;B;
"Paisley, Brad",Country
Lonestar,"Country,Pop/Rock"
"Backstreet Boys, The",nan
"Keith, Toby",Country
"Strait, George",Country
"Dixie Chicks, The","Country,Folk,Pop/Rock"
Musiq,"R&amp;B;,Rap"
"McEntire, Reba",Country
"Braxton, Toni",R&amp;B;
"Iglesias, Enrique","Latin,Pop/Rock"
"Fabian, Lara",Pop/Rock
Bon Jovi,Pop/Rock
"Evans, Sara",Country
"Chesney, Kenny",Country
J-Shin,R&amp;B;
Eve,Rap
Aaliyah,R&amp;B;
"Montgomery, John Michael",Country
"Carter, Aaron","Pop/Rock,R&amp;B;"
"Vassar, Phil",Country
Ice Cube,Rap
"Wills, Mark",Country
Lucy Pearl,R&amp;B;
"Jackson, Alan",Country
"Griggs, Andy","Country,Pop/Rock"
No Doubt,Pop/Rock
"Jean, Wyclef",Rap
Rascal Flatts,Country
Vitamin C,Pop/Rock
"Gilman, Billy","Pop/Rock,Country"
Lonestar,"Country,Pop/Rock"
"Rogers, Kenny","Country,Pop/Rock"
"Lawrence, Tracy",Country
"Strait, George",Country
Sisqo,R&amp;B;
Baha Men,"Pop/Rock,Electronic,International"
"Walker, Clay",Country
"McBride, Martina",Country
Amber,"Electronic,Pop/Rock"
"Tippin, Aaron",Country
SheDaisy,Country
"Raye, Collin",Country
Black Rob,Rap
"Jackson, Alan",Country
"Black, Clint",Country
Common,Rap
"Vassar, Phil",Country
"Jackson, Alan",Country
Vitamin C,Pop/Rock
"Eastsidaz, The",Rap
Ideal,"Pop/Rock,Electronic"
"Thomas, Carl",R&amp;B;
Ginuwine,R&amp;B;
"Davidson, Clay","Country,Pop/Rock"
DMX,Rap
"John, Elton",Pop/Rock
Pearl Jam,Pop/Rock
Mya,R&amp;B;
"Heatherly, Eric","Country,Pop/Rock"
Eminem,Rap
"McEntire, Reba",Country
"Lopez, Jennifer","Pop/Rock,Latin"
"Urban, Keith","Country,Pop/Rock"
TLC,R&amp;B;
"Gill, Vince",Country
"Houston, Whitney",R&amp;B;
Bloodhound Gang,Pop/Rock
"Williams, Robbie",Pop/Rock
"Messina, Jo Dee",Country
"Keith, Toby",Country
Beenie Man,Reggae
"Hill, Faith","Country,Pop/Rock"
Kelis,R&amp;B;
Jay-Z,Rap
3 Doors Down,Pop/Rock
Brooks & Dunn,Country
"Chesney, Kenny",Country
"Stone, Angie",R&amp;B;
Da Brat,Rap
SheDaisy,Country
Papa Roach,Pop/Rock
"Adams, Yolanda","Religious,NewAge"
Shyne,Rap
R.E.M.,Pop/Rock
"Diffie, Joe",Country
"McGraw, Tim","Country,Pop/Rock"
"Henley, Don",Pop/Rock
Eminem,Rap
Nas,Rap
Sister Hazel,Pop/Rock
Puff Daddy,Rap
"McBride, Martina",Country
Usher,R&amp;B;
Lil' Kim,Rap
LFO,Electronic
SheDaisy,Country
Splender,Pop/Rock
"Simpson, Jessica",Pop/Rock
M2M,Pop/Rock
Kumbia Kings,"Latin,International"
Joe,R&amp;B;
"Blige, Mary J.",R&amp;B;
"Price, Kelly","R&amp;B;,Pop/Rock"
Changing Faces,R&amp;B;
"Wright, Chely","Country,Pop/Rock"
Limp Bizkit,Pop/Rock
Hot Boys,Rap
Jay-Z,Rap
"Adkins, Trace",Country
"Dixie Chicks, The","Country,Folk,Pop/Rock"
"Price, Kelly","R&amp;B;,Pop/Rock"
DMX,Rap
"Martin, Ricky","Latin,Pop/Rock"
Nine Days,Pop/Rock
"Blige, Mary J.",R&amp;B;
Red Hot Chili Peppers,Pop/Rock
Third Eye Blind,Pop/Rock
"Brooks, Garth",Country
"Offspring, The","R&amp;B;,Pop/Rock"
"Anthony, Marc","Latin,Electronic,Pop/Rock"
"Houston, Whitney",R&amp;B;
D'Angelo,R&amp;B;
"Kravitz, Lenny",Pop/Rock
"Loveless, Patty","Country,Pop/Rock"
Q-Tip,Rap
"Rimes, LeAnn","Country,Pop/Rock"
Lil Wayne,"Rap,Pop/Rock"
2 Pac,Rap
"Wallflowers, The","R&amp;B;,Pop/Rock"
Drama,"Rap,R&amp;B;"
Limp Bizkit,Pop/Rock
Lox,Rap
Ying Yang Twins,Rap
"Walker, Clay",Country
Metallica,Pop/Rock
Yankee Grey,Country
"Bega, Lou",Pop/Rock
Big Punisher,Rap
"Worley, Darryl",Country
Lil' Kim,Rap
"Clark, Terri",Country
"Brock, Chad",Country
"Cagle, Chris",Country
"Byrd, Tracy",Country
Metallica,Pop/Rock
Jay-Z,Rap
Fatboy Slim,Electronic
"Levert, Gerald",R&amp;B;
"McKnight, Brian",R&amp;B;
"Allan, Gary",Country
Ginuwine,R&amp;B;
Before Dark,"Pop/Rock,R&amp;B;"
"Estefan, Gloria","Pop/Rock,Latin,International"
Stone Temple Pilots,Pop/Rock
Montgomery Gentry,"Country,Pop/Rock"
"Cyrus, Billy Ray",Country
Clark Family Experience,Country
"Thomas, Carl",R&amp;B;
"Yearwood, Trisha",Country
Trick Daddy,Rap
"Moore, Chante",R&amp;B;
Cam'ron,Rap
Juvenile,Rap
"Hollister, Dave",R&amp;B;
Tamia,R&amp;B;
LFO,Electronic
"Paisley, Brad",Country
"Carter, Torrey",Pop/Rock
2Ge+her,nan
Madison Avenue,"Electronic,Pop/Rock"
Eve,Rap
Limp Bizkit,Pop/Rock
"Spencer, Tracie","R&amp;B;,Pop/Rock"
Nu Flavor,"Pop/Rock,Latin"
Tamar,Pop/Rock
"Levert, Gerald",R&amp;B;
"Hart, Beth","Pop/Rock,Blues"
"Diffie, Joe",Country
Funkmaster Flex,Rap
"Price, Kelly","R&amp;B;,Pop/Rock"
En Vogue,R&amp;B;
"Herndon, Ty",Country
Anastacia,"Pop/Rock,Electronic"
Trina,Rap
Lil' Mo,"R&amp;B;,Rap"
A*Teens,"Electronic,Pop/Rock"
"Sheist, Shade",Rap
De La Soul,Rap
"Larrieux, Amel",R&amp;B;
"Braxton, Toni",R&amp;B;
Tuesday,Pop/Rock
LL Cool J,Rap
Master P,Rap
Ghostface Killah,Rap
"Smith, Will","Rap,R&amp;B;,Pop/Rock"
Zombie Nation,Electronic
"Eastsidaz, The",Rap
Fragma,"Electronic,Pop/Rock"
