artist.inverted,track,bpm
Destiny's Child,Independent Women Part I,98.0
Santana,"Maria, Maria",98.0
Savage Garden,I Knew I Loved You,170.0
Madonna,Music,120.0
"Aguilera, Christina",Come On Over Baby (All I Want Is You),119.0
Janet,Doesn't Really Matter,99.0
Destiny's Child,Say My Name,138.0
"Iglesias, Enrique",Be With You,122.0
Sisqo,Incomplete,119.0
Lonestar,Amazed,140.0
N'Sync,It's Gonna Be Me,165.0
"Aguilera, Christina",What A Girl Wants,142.0
Vertical Horizon,Everything You Want,94.0
Creed,With Arms Wide Open,139.0
Aaliyah,Try Again,95.0
matchbox twenty,Bent,95.0
"Carey, Mariah",Thank God I Found You,130.0
"Hill, Faith",Breathe,137.0
Mya,Case Of The Ex (Whatcha Gonna Do),98.0
Dream,He Loves U Not,156.0
"Braxton, Toni",He Wasn't Man Enough,88.0
"Anthony, Marc",You Sang To Me,166.0
98¡,Give Me Just One Night (Una Noche),124.0
Destiny's Child,Jumpin' Jumpin',89.0
3 Doors Down,Kryptonite,99.0
Sisqo,Thong Song,122.0
"Aguilera, Christina",I Turn To You,127.0
"Houston, Whitney",My Love Is Your Love,83.0
Joe,I Wanna Know,136.0
"Jordan, Montell",Get It On.. Tonite,99.0
N'Sync,Bye Bye Bye,171.0
Eminem,The Real Slim Shady,105.0
Pink,Most Girls,98.0
"Mumba, Samantha",Gotta Tell You,110.0
Blaque,Bring It All To Me,89.0
"Elliott, Missy ""Misdemeanor""",Hot Boyz,
"Gray, Macy",I Try,76.0
N'Sync,This I Promise You,166.0
Ruff Endz,No More,97.0
"Backstreet Boys, The",Show Me The Meaning Of Being Lonely,168.0
Nine Days,Absolutely (Story Of A Girl),96.0
"Dion, Celine",That's The Way It Is,186.0
Blink-182,All The Small Things,149.0
Eiffel 65,Blue (Da Ba Dee),128.0
"Badu, Erkyah",Bag Lady,
Pink,There U Go,
Creed,Higher,156.0
Nelly,(Hot S**t) Country Grammar,163.0
Next,Wifey,100.0
Kenny G,Auld Lang Syne (The Millenium Mix),
Sonique,It Feels So Good,135.0
"Spears, Britney",Oops!.. I Did It Again,95.0
"Backstreet Boys, The",Shape Of My Heart,96.0
Everclear,Wonderful,187.0
Ja Rule,Between Me And You,94.0
"Rimes, LeAnn",I Need You,98.0
Smash Mouth,Then The Morning Comes,119.0
Jay-Z,I Just Wanna Love U (Give It 2 Me),98.0
Jagged Edge,Let's Get Married,110.0
Filter,Take A Picture,99.0
"Martin, Ricky",She Bangs,144.0
Mystikal,Shake Ya Ass,98.0
BBMak,Back Here,105.0
"Spears, Britney",From The Bottom Of My Broken Heart,75.0
Third Eye Blind,Never Let You Go,114.0
Red Hot Chili Peppers,Otherside,123.0
Profyle,Liar,114.0
Barenaked Ladies,Pinch Me,95.0
Jagged Edge,He Can't Love U,126.0
504 Boyz,Wobble Wobble,170.0
Sting,Desert Rose,112.0
Jay-Z,Big Pimpin',138.0
Kid Rock,Only God Knows Why,129.0
Foo Fighters,Learn To Fly,136.0
"Dixie Chicks, The",Goodbye Earl,123.0
Guy,Dancin',101.0
Lil Bow Wow,Bounce With Me,72.0
Westlife,Swear It Again,130.0
Train,Meet Virginia,90.0
"Thomas, Carl",I Wish,90.0
Hanson,This Time Around,164.0
"Simpson, Jessica",I Think I'm In Love With You,106.0
Ludacris,What's Your Fantasy,140.0
Lil' Zane,Callin' Me,107.0
M2M,Don't Say You Love Me,98.0
SoulDecision,Faded,108.0
"Brock, Chad",Yes!,127.0
"Martin, Ricky",Shake Your Bon-Bon,100.0
Vertical Horizon,You're A God,97.0
Avant,Separated,108.0
"Rimes, LeAnn",Big Deal,152.0
IMx,Stay The Night,183.0
Dr. Dre,The Next Episode,95.0
"Spears, Britney",Lucky,95.0
Savage Garden,Crash And Burn,102.0
Kandi,Don't Think I'm Not,134.0
Sammie,I Like It,130.0
Goo Goo Dolls,Broadway,133.0
"Moore, Mandy",I Wanna Be With You,150.0
Dr. Dre,Forgot About Dre,134.0
D'Angelo,Untitled (How Does It Feel),113.0
"Messina, Jo Dee",That's The Way,184.0
Avant,My First Love,126.0
Son By Four,A Puro Dolor (Purest Of Pain),134.0
Da Brat,What'Chu Like,100.0
DMX,Party Up (Up In Here),101.0
"Dixie Chicks, The",Cowboy Take Me Away,165.0
"McGraw, Tim",My Next Thirty Years,99.0
"Tritt, Travis",Best Of Intentions,99.0
Alice Deejay,Better Off Alone,137.0
Hoku,Another Dumb Blonde,124.0
"Houston, Whitney",I Learned From The Best,149.0
Counting Crows,Hanginaround,91.0
Mary Mary,Shackles (Praise You),100.0
"Carey, Mariah",Crybaby,79.0
"McGraw, Tim",My Best Friend,148.0
Sugar Ray,Falls Apart,103.0
Madonna,American Pie,124.0
"Jones, Donell",Where I Wanna Be,102.0
"Paisley, Brad",We Danced,73.0
Lonestar,What About Now,127.0
"Backstreet Boys, The",The One,99.0
"Keith, Toby",How Do You Like Me Now?!,109.0
"Strait, George",The Best Day,132.0
"Dixie Chicks, The",Without You,92.0
Musiq,Just Friends (Sunny),95.0
"McEntire, Reba",What Do You Say,171.0
"Braxton, Toni",Just Be A Man About It,109.0
"Iglesias, Enrique",Rhythm Divine,102.0
"Fabian, Lara",I Will Love Again,127.0
Bon Jovi,It's My Life,120.0
"Evans, Sara",Born To Fly,100.0
"Chesney, Kenny",I Lost It,139.0
J-Shin,One Night Stand,126.0
Eve,Love Is Blind,176.0
Aaliyah,I Don't Wanna,130.0
"Montgomery, John Michael",The Little Girl,84.0
"Carter, Aaron",Aaron's Party (Come Get It),117.0
"Vassar, Phil",Just Another Day In Paradise,146.0
Ice Cube,You Can Do It,100.0
"Wills, Mark",Back At One,130.0
Lucy Pearl,Dance Tonight,99.0
"Jackson, Alan",It Must Be Love,112.0
"Griggs, Andy",She's More,99.0
No Doubt,Simple Kind Of Life,120.0
"Jean, Wyclef",911,87.0
Rascal Flatts,Prayin' For Daylight,91.0
Vitamin C,Graduation (Friends Forever),80.0
"Gilman, Billy",One Voice,150.0
Lonestar,Smile,75.0
"Rogers, Kenny",Buy Me A Rose,98.0
"Lawrence, Tracy",Lessons Learned,125.0
"Strait, George",Go On,105.0
Sisqo,Got To Get It,102.0
Baha Men,Who Let The Dogs Out,129.0
"Walker, Clay",The Chain Of Love,141.0
"McBride, Martina",Love's The Only House,123.0
Amber,Sexual (Li Da Di),131.0
"Tippin, Aaron",Kiss This,116.0
SheDaisy,I Will.. But,113.0
"Raye, Collin",Couldn't Last A Moment,97.0
Black Rob,Whoa!,86.0
"Jackson, Alan",Pop A Top,118.0
"Black, Clint",Been There,188.0
Common,The Light,97.0
"Vassar, Phil",Carlene,129.0
"Jackson, Alan",www.memory,94.0
Vitamin C,The Itch,105.0
"Eastsidaz, The",G'D Up,98.0
Ideal,Whatever,102.0
"Thomas, Carl",Emotional,83.0
Ginuwine,None Of Ur Friends Business,99.0
"Davidson, Clay",Unconditional,133.0
DMX,What You Want,167.0
"John, Elton",Someday Out Of The Blue,160.0
Pearl Jam,Nothing As It Seems,141.0
Mya,The Best Of Me,138.0
"Heatherly, Eric",Flowers On The Wall,100.0
Eminem,Stan,80.0
"McEntire, Reba",I'll Be,123.0
"Lopez, Jennifer",Feelin' Good,108.0
"Urban, Keith",Your Everything,140.0
TLC,Dear Lie,174.0
"Gill, Vince",Feels Like Love,100.0
"Houston, Whitney",Could I Have This Kiss Forever,94.0
Bloodhound Gang,The Bad Touch,123.0
"Williams, Robbie",Angels,150.0
"Messina, Jo Dee",Because You Love Me,145.0
"Keith, Toby",Country Comes To Town,124.0
Beenie Man,Girls Dem Sugar,124.0
"Hill, Faith",Let's Make Love,147.0
Kelis,Caught Out There,93.0
Jay-Z,Anything,81.0
3 Doors Down,Loser,148.0
Brooks & Dunn,You'll Always Be Loved By Me,103.0
"Chesney, Kenny",What I Need To Do,77.0
"Stone, Angie",No More Rain (In This Cloud),142.0
Da Brat,That's What I'm Looking For,130.0
SheDaisy,This Woman Needs,99.0
Papa Roach,Last Resort,91.0
"Adams, Yolanda",Open My Heart,105.0
Shyne,Bad Boyz,84.0
R.E.M.,The Great Beyond,110.0
"Diffie, Joe",It's Always Somethin',90.0
"McGraw, Tim",Some Things Never Change,90.0
"Henley, Don",Taking You Home,72.0
Eminem,The Way I Am,87.0
Nas,You Owe Me,110.0
Sister Hazel,Change Your Mind,91.0
Puff Daddy,Best Friend,85.0
"McBride, Martina",There You Are,144.0
Usher,Pop Ya Collar,125.0
Lil' Kim,No Matter What They Say,106.0
LFO,I Don't Wanna Kiss You Goodnight,128.0
SheDaisy,Deck The Halls,119.0
Splender,I Think God Can Explain,137.0
"Simpson, Jessica",Where You Are,116.0
M2M,Mirror Mirror,100.0
Kumbia Kings,U Don't Love Me,148.0
Joe,Treat Her Like A Lady,126.0
"Blige, Mary J.",Deep Inside,129.0
"Price, Kelly",You Should've Told Me,120.0
Changing Faces,That Other Woman,134.0
"Wright, Chely",It Was,170.0
Limp Bizkit,Rollin',96.0
Hot Boys,I Need A Hot Girl,
Jay-Z,Do It Again (Put Ya Hands Up),
"Adkins, Trace",More,136.0
"Dixie Chicks, The",Cold Day In July,134.0
"Price, Kelly",As We Lay,124.0
DMX,What's My Name,188.0
"Martin, Ricky",Private Emotion,147.0
Nine Days,If I Am,98.0
"Blige, Mary J.",Give Me You,110.0
Red Hot Chili Peppers,Californication,96.0
Third Eye Blind,Deep Inside Of You,82.0
"Brooks, Garth",Do What You Gotta Do,134.0
"Offspring, The",Original Prankster,147.0
"Anthony, Marc",My Baby You,116.0
"Houston, Whitney","Same Script, Different Cast",118.0
D'Angelo,Left & Right,92.0
"Kravitz, Lenny",I Belong To You,87.0
"Loveless, Patty",That's The Kind Of Mood I'm In,126.0
Q-Tip,Breathe And Stop,99.0
"Rimes, LeAnn",Can't Fight The Moonlight,98.0
Lil Wayne,Tha Block Is Hot,174.0
2 Pac,Baby Don't Cry (Keep Ya Head Up II),94.0
"Wallflowers, The",Sleepwalker,129.0
Drama,"Left, Right, Left",125.0
Limp Bizkit,N 2 Gether Now,102.0
Lox,"Ryde or Die, Chick",
Ying Yang Twins,Whistle While You Twurk,102.0
"Walker, Clay","Live, Laugh, Love",141.0
Metallica,No Leaf Clover (Live),151.0
Yankee Grey,Another Nine Minutes,138.0
"Bega, Lou",Tricky Tricky ,151.0
Big Punisher,It's So Hard,93.0
"Worley, Darryl",When You Need My Love,86.0
Lil' Kim,How Many Licks?,105.0
"Clark, Terri",A Little Gasoline,77.0
"Brock, Chad",A Country Boy Can Survive,76.0
"Cagle, Chris",My Love Goes On And On,162.0
"Byrd, Tracy",Put Your Hand In Mine,72.0
Metallica,I Disappear,123.0
Jay-Z,Hey Papi,158.0
Fatboy Slim,The Rockafeller Skank,153.0
"Levert, Gerald",Mr. Too Damn Good,115.0
"McKnight, Brian",Stay Or Let It Go,80.0
"Allan, Gary",Smoke Rings In The Dark,83.0
Ginuwine,The Best Man I Can Be,112.0
Before Dark,Monica,88.0
"Estefan, Gloria",No Me Dejes De Querer,83.0
Stone Temple Pilots,Sour Girl,208.0
Montgomery Gentry,Daddy Won't Sell The Farm,120.0
"Cyrus, Billy Ray",You Won't Be Lonely Now,102.0
Clark Family Experience,Meanwhile Back At The Ranch,95.0
"Thomas, Carl",Summer Rain,186.0
"Yearwood, Trisha",Real Live Woman,127.0
Trick Daddy,Shut Up,145.0
"Moore, Chante",Straight Up,100.0
Cam'ron,What Means The World To You,144.0
Juvenile,U Understand,100.0
"Hollister, Dave",Can't Stay,118.0
Tamia,Can't Go For That,106.0
LFO,West Side Story,100.0
"Paisley, Brad",Me Neither,117.0
"Carter, Torrey",Take That,
2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),112.0
Madison Avenue,Don't Call Me Baby,125.0
Eve,Got It All,95.0
Limp Bizkit,Re-Arranged,104.0
"Spencer, Tracie",Still In My Heart,90.0
Nu Flavor,3 Little Words,114.0
Tamar,If You Don't Wanna Love Me,120.0
"Levert, Gerald",Baby U Are,172.0
"Hart, Beth",L.A. Song,130.0
"Diffie, Joe",The Quittin' Kind,102.0
Funkmaster Flex,Do You,
"Price, Kelly",Love Sets You Free,189.0
En Vogue,Riddle,96.0
"Herndon, Ty",No Mercy,188.0
Anastacia,I'm Outta Love,119.0
Trina,Pull Over,125.0
Lil' Mo,Ta Da,
A*Teens,Dancing Queen,
"Sheist, Shade",Where I Wanna Be,97.0
De La Soul,All Good?,193.0
"Larrieux, Amel",Get Up,89.0
"Braxton, Toni",Spanish Guitar,120.0
Tuesday,I Know,103.0
LL Cool J,Imagine That,98.0
Master P,Souljas,100.0
Ghostface Killah,Cherchez LaGhost,104.0
"Smith, Will",Freakin' It,112.0
Zombie Nation,Kernkraft 400,140.0
"Eastsidaz, The",Got Beef,
Fragma,Toca's Miracle,130.0
